Category,Business/Entity Name,Contact Name,Email,Phone,Location
Event Planners,Maplewood Events,Bonnie or Amy,maplewood1068@gmail.com,(385) 250-7061 / (801) 319-2341,"Spanish Fork, UT"
Event Planners,Harvest Moon Events,N/A,info@harvestmoonevents.com,435-901-3625,"Salt Lake City, UT (serves Utah County)"
Event Planners,Weddings Unveiled Utah,Marla,marla@weddingsunveiledutah.com,801-753-8225,"Saratoga Springs, UT"
Event Planners,Michelle Leo Events,Michelle Leo,N/A (use contact form),(801) 455-1121,"Park City, UT (serves SLC/Utah County)"
Event Planners,Everson Events,N/A,N/A (use contact form),N/A,Utah-based (serves Utah County)
Event Planners,Red Canyon Events,Ruby,N/A (use contact form),N/A,Utah-based (serves Utah County)
Event Planners,Castle Park Weddings & Events,N/A,N/A,801-900-5692,"Utah County, UT"
Wedding Planners,Kate Elizabeth Events,Kate,N/A (use contact form),N/A,Utah County/SLC
Wedding Planners,Shellie Ferrer Events,Shellie,shellie@shellieferrerevents.com,435-901-8176,"Park City, UT (serves Utah County)"
Wedding Planners,Kaushay & Co. Events,Kaushay,N/A (use contact form),N/A,"Lehi, UT"
Wedding Planners,Ruby Jane Events,Julie Walker,N/A (use contact form),N/A,Utah County
Wedding Planners,Heirloom Weddings & Events,Marla,N/A (use contact form),N/A,Utah County
Wedding Planners,Leigh & Co. Events,Leigh,N/A (use contact form),N/A,"Salt Lake City, UT"
Wedding Planners,Busbee Events,N/A,N/A (use contact form),N/A,"Salt Lake City, UT"
Corporate HR/Office Managers,"Utah County Human Resources (government, but event-related)",N/A,N/A,(801) 851-8159,"Provo, UT"
Corporate HR/Office Managers,Salt Lake County Human Resources,Sharon Roux (HR Director),N/A,(385) 468-0595,"Salt Lake City, UT"
Restaurants,TRUreligion Pancake & Steakhouse,N/A,N/A,N/A,"Orem, UT"
Restaurants,Pizzeria Seven Twelve,N/A,N/A,N/A,"Orem, UT"
Restaurants,Bam Bams BBQ,N/A,N/A,N/A,"Orem, UT"
Restaurants,Station 22 Cafe,N/A,N/A,N/A,"Provo, UT"
Restaurants,Black Sheep Cafe,N/A,N/A,N/A,"Provo, UT"
Restaurants,Communal Restaurant,N/A,N/A,N/A,"Provo, UT"
Restaurants,Zao Modern Asian Cafe,N/A,N/A,N/A,Multiple locations in Utah County
Restaurants,Harvest Restaurant (at Thanksgiving Point),N/A,N/A,801-768-4990,"Lehi, UT"
Restaurants,La Jolla Groves,N/A,N/A,(801) 224-5111,"Provo, UT"
Hotels/Resorts,Sundance Mountain Resort,N/A,meetings@sundanceresort.com,801-223-4070,"Sundance, UT (Utah County)"
Hotels/Resorts,Zermatt Resort,N/A,N/A,N/A,"Midway, UT (near Utah County)"
Hotels/Resorts,Homestead Resort,N/A,N/A,N/A,"Midway, UT"
Hotels/Resorts,Thanksgiving Point (event spaces),N/A,N/A,N/A,"Lehi, UT"
Hotels/Resorts,Quiet Meadow Farm,N/A,N/A,N/A,"Mapleton, UT (Utah County)"
Hotels/Resorts,Utah Valley Convention Center,N/A,info@utahvalleycc.com,(801) 851-2200,"Provo, UT"
Hotels/Resorts,Provo Marriott Hotel & Conference Center,N/A,N/A,N/A,"Provo, UT"
Business Owners/Networking,Utah Valley Home Builders Association,N/A,N/A (use directory),N/A,Utah County
Business Owners/Networking,Payson Santaquin Area Chamber,N/A,N/A,N/A,"Payson/Santaquin, UT"
Business Owners/Networking,American Fork Chamber,N/A,N/A,N/A,"American Fork, UT"
